frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,equalized_raw,equalized_smoothed,target
147.78,-3.08,-3.08,-3.08,-3.08,3.08,2.99,0.00,0.00,0.00
149.26,-2.90,-2.90,-2.90,-2.90,2.90,2.81,0.00,-0.00,0.00
150.75,-2.71,-2.71,-2.71,-2.71,2.71,2.64,-0.00,-0.00,0.00
152.26,-2.52,-2.52,-2.52,-2.52,2.52,2.47,-0.00,-0.00,0.00
153.78,-2.34,-2.34,-2.34,-2.34,2.34,2.30,-0.00,-0.00,0.00
155.32,-2.15,-2.15,-2.15,-2.15,2.15,2.14,-0.00,-0.00,0.00
156.88,-1.96,-1.96,-1.96,-1.96,1.96,1.97,0.00,-0.00,0.00
158.44,-1.77,-1.77,-1.77,-1.77,1.77,1.80,-0.00,0.00,0.00
160.03,-1.59,-1.59,-1.59,-1.59,1.59,1.63,-0.00,-0.00,0.00
161.63,-1.41,-1.41,-1.41,-1.41,1.41,1.47,0.00,-0.00,0.00
163.24,-1.23,-1.23,-1.23,-1.23,1.22,1.30,-0.00,-0.00,0.00
164.88,-1.05,-1.05,-1.05,-1.05,1.05,1.14,-0.00,-0.00,0.00
166.53,-0.87,-0.87,-0.87,-0.87,0.87,0.98,0.00,-0.00,0.00
168.19,-0.70,-0.70,-0.70,-0.70,0.70,0.82,0.00,0.00,0.00
169.87,-0.53,-0.53,-0.53,-0.53,0.53,0.66,-0.00,0.00,0.00
171.57,-0.37,-0.37,-0.37,-0.37,0.37,0.51,0.00,0.00,0.00
173.29,-0.21,-0.21,-0.21,-0.21,0.21,0.36,0.00,0.00,0.00
175.02,-0.06,-0.06,-0.06,-0.06,0.06,0.21,0.00,0.00,0.00
176.77,0.09,0.09,0.09,0.09,-0.09,0.07,0.00,0.00,0.00
178.54,0.23,0.23,0.23,0.23,-0.23,-0.07,0.00,0.00,0.00
180.32,0.36,0.36,0.36,0.36,-0.36,-0.21,0.00,0.00,0.00
182.13,0.48,0.48,0.48,0.48,-0.48,-0.34,0.00,0.00,0.00
183.95,0.60,0.60,0.60,0.60,-0.60,-0.47,0.00,0.00,0.00
185.79,0.71,0.71,0.71,0.71,-0.70,-0.59,0.00,0.00,0.00
187.65,0.81,0.81,0.81,0.81,-0.80,-0.70,0.00,0.00,0.00
189.52,0.90,0.90,0.90,0.90,-0.90,-0.81,0.00,0.00,0.00
191.42,0.98,0.98,0.98,0.98,-0.98,-0.91,0.00,0.00,0.00
193.33,1.06,1.06,1.06,1.06,-1.06,-1.00,0.00,0.00,0.00
195.27,1.13,1.13,1.13,1.13,-1.13,-1.09,-0.00,-0.00,0.00
197.22,1.19,1.19,1.19,1.19,-1.19,-1.17,-0.00,-0.00,0.00
199.19,1.25,1.25,1.25,1.25,-1.25,-1.25,0.00,-0.00,0.00
201.18,1.30,1.30,1.30,1.30,-1.30,-1.31,-0.00,-0.00,0.00
